campaign_id,campaign_name,campaign_type,channel,objective,start_date,end_date,duration_days,daily_budget,total_budget,total_impressions,total_clicks,total_conversions,total_revenue,avg_cpc,cost_per_conversion,conversion_rate,roas,status,uses_ai_optimization,is_sustainable_focused,targets_gen_z,created_at
CAMP-2025-0034,Q1 2025 LinkedIn Ads Drive,Brand Awareness,LinkedIn Ads,Reach,2025-02-23,2025-05-16,82,524.14,42979.62,508777,9610,341,0.0,3.578,100.65,0.0356,0.0,Completed,False,False,False,2025-01-01
CAMP-2025-0035,2025 Sales Conversion - YouTube Ads,Sales Conversion,YouTube Ads,Revenue,2025-08-21,2025-11-02,73,443.85,32401.04,327854,10138,276,58004.09,2.876,105.54,0.0273,1.99,Active,True,True,True,2025-01-01
CAMP-2025-0036,Q2 2025 Google Ads Drive,Lead Generation,Google Ads,Sign-ups,2025-06-20,2025-09-05,77,132.65,10214.38,521137,10818,736,0.0,0.944,13.88,0.068,0.0,Completed,False,False,False,2025-01-01
CAMP-2025-0037,Q1 2025 Instagram Ads Drive,Retargeting,Instagram Ads,Customer Return,2025-02-21,2025-03-18,25,261.24,6530.92,98391,2140,134,28499.84,2.441,38.87,0.063,5.45,Completed,True,False,False,2025-01-01
CAMP-2025-0038,New Year 2025 Product Launch,Product Launch,Email Marketing,Awareness,2025-03-03,2025-04-15,43,953.54,41002.24,4838036,134376,17095,0.0,0.244,1.92,0.1272,0.0,Completed,True,True,True,2025-01-01
CAMP-2025-0039,Spring 2025 Sign-ups Campaign,Lead Generation,Google Ads,Sign-ups,2025-06-09,2025-07-04,25,603.18,15079.39,818726,9025,650,0.0,1.671,23.2,0.0721,0.0,Completed,False,False,False,2025-01-01
CAMP-2025-0040,Q2 2025 Influencer Marketing Drive,Retargeting,Influencer Marketing,Customer Return,2025-05-31,2025-06-27,27,604.65,16325.46,115250,3271,185,30667.91,4.991,88.25,0.0568,1.88,Completed,True,False,True,2025-01-01
CAMP-2025-0041,Spring 2025 Trial Campaign,Product Launch,Facebook Ads,Trial,2025-08-13,2025-10-15,63,1485.52,93587.9,956023,33705,816,0.0,2.499,103.18,0.0242,0.0,Active,False,False,True,2025-01-01
CAMP-2025-0042,Spring 2025 Customer Return Campaign,Retargeting,TikTok Ads,Customer Return,2025-05-24,2025-06-05,12,596.32,7155.8,117574,3677,135,32690.08,1.946,53.01,0.0368,4.57,Completed,True,True,False,2025-01-01
CAMP-2025-0043,2025 Lead Generation - YouTube Ads,Lead Generation,YouTube Ads,Sign-ups,2025-06-06,2025-06-25,19,180.22,3424.12,30968,1436,64,0.0,2.383,53.5,0.0452,0.0,Completed,False,False,True,2025-01-01
CAMP-2025-0044,New Year 2025 Sales Conversion,Sales Conversion,LinkedIn Ads,Revenue,2025-09-22,2025-12-05,74,795.64,58877.6,559706,10933,559,142761.72,4.847,94.66,0.0513,2.69,Active,False,False,False,2025-01-01
CAMP-2025-0045,Q1 2025 LinkedIn Ads Drive,Retargeting,LinkedIn Ads,Customer Return,2025-07-30,2025-10-16,78,340.31,26544.38,883164,14688,1266,252344.68,1.626,18.87,0.0863,10.56,Active,True,False,True,2025-01-01
CAMP-2025-0046,New Year 2025 Lead Generation,Lead Generation,LinkedIn Ads,Downloads,2025-02-19,2025-04-20,60,712.98,42778.7,339265,10341,693,0.0,3.309,49.34,0.0671,0.0,Completed,True,False,False,2025-01-01
CAMP-2025-0047,New Year 2025 Sales Conversion,Sales Conversion,Email Marketing,ROAS,2025-09-10,2025-11-21,72,743.63,53541.01,3778372,164629,12186,2827771.33,0.293,3.95,0.074,58.68,Active,False,False,False,2025-01-01
CAMP-2025-0048,2025 Product Launch - Google Ads,Product Launch,Google Ads,Awareness,2025-02-26,2025-04-03,36,1986.88,71527.57,1280371,39640,1226,0.0,1.443,46.66,0.0309,0.0,Completed,False,False,True,2025-01-01
CAMP-2025-0049,New Year 2025 Retargeting,Retargeting,Influencer Marketing,Conversions,2025-03-11,2025-05-08,58,209.29,12138.91,98868,2288,163,36972.22,4.243,59.5,0.0716,3.81,Completed,False,False,True,2025-01-01
CAMP-2025-0050,Spring 2025 Conversions Campaign,Retargeting,Influencer Marketing,Conversions,2025-07-11,2025-09-30,81,686.41,55599.27,753756,9484,1340,321577.75,5.276,37.34,0.1413,6.43,Active,True,False,True,2025-01-01
